yassirlakhtiri@Yassirs-MacBook-Air orb_platform % python main.py --data data/nq_1m.csv --optimize --iterations 300 --seed 42
[12/300] robustness_score=0.5920 trades=501 params={'entry.or_minutes': 25, 'entry.buffer_points': 1.867102512646469, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 1.0617433425788934, 'risk.fixed_stop_points': 20.14256686442366, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 1.9711002860258775, 'risk.atr_mult_target': 1.0215725169552807, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.5747301405733852, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 2.219270800507493}
[13/300] robustness_score=0.9493 trades=613 params={'entry.or_minutes': 7, 'entry.buffer_points': 2.5707805990429455, 'entry.direction': 'long_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 50, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 0.8307796218125625, 'risk.fixed_stop_points': 38.06542721742013, 'risk.target_mode': 'atr', 'risk.r_multiple': 1.1074931059893114, 'risk.atr_mult_target': 2.418918828833781, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.5284918972342532, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 1.8179654990293261}
[14/300] robustness_score=0.4641 trades=560 params={'entry.or_minutes': 16, 'entry.buffer_points': 2.117893115099604, 'entry.direction': 'long_only', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 1.5065532052556718, 'risk.fixed_stop_points': 20.179078161848892, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 1.121640834800714, 'risk.atr_mult_target': 1.5706267253224344, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.46821875651372935, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 1.057090289333881}
[15/300] robustness_score=1.3481 trades=729 params={'entry.or_minutes': 12, 'entry.buffer_points': 4.3724297703529, 'entry.direction': 'both', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 2.130362234996305, 'risk.fixed_stop_points': 26.21763814300915, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 2.9224906432118782, 'risk.atr_mult_target': 3.7791009490243828, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.49957333272469684, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 1.462716835942079}
[16/300] robustness_score=1.1206 trades=729 params={'entry.or_minutes': 17, 'entry.buffer_points': 4.512214327552743, 'entry.direction': 'both', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'atr', 'risk.atr_mult_stop': 1.16300764543038, 'risk.fixed_stop_points': 33.52211805845708, 'risk.target_mode': 'atr', 'risk.r_multiple': 1.2131230723673008, 'risk.atr_mult_target': 3.0897745108004875, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.48575619032887696, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 0.9354017968283499}
[17/300] robustness_score=6.2860 trades=570 params={'entry.or_minutes': 6, 'entry.buffer_points': 2.8959014540812813, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 100, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 0.6253558431598839, 'risk.fixed_stop_points': 24.303655513268048, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 0.6421989493217113, 'risk.atr_mult_target': 2.5234854909802555, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.3822255992445508, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 1.8504251072081803}
[18/300] robustness_score=2.0115 trades=566 params={'entry.or_minutes': 12, 'entry.buffer_points': 2.0188777565913876, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 0.7049585137371888, 'risk.fixed_stop_points': 29.721194934175674, 'risk.target_mode': 'atr', 'risk.r_multiple': 2.8367656443410683, 'risk.atr_mult_target': 1.6127775982706094, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.5864231431390152, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 0.7617565642549129}
[19/300] robustness_score=1.0854 trades=535 params={'entry.or_minutes': 25, 'entry.buffer_points': 1.499985398993811, 'entry.direction': 'long_only', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'atr', 'risk.atr_mult_stop': 2.052898138732732, 'risk.fixed_stop_points': 26.889809369168383, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 0.6831518027490825, 'risk.atr_mult_target': 1.639462936801121, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.45894788443976076, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 2.261728347372879}
[20/300] robustness_score=0.2206 trades=729 params={'entry.or_minutes': 12, 'entry.buffer_points': 1.8476354436944198, 'entry.direction': 'both', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 100, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 2.959633275628706, 'risk.fixed_stop_points': 34.21299829795427, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 2.169658009281459, 'risk.atr_mult_target': 2.6638068474690333, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 1.4267160047125247, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 1.0289318429742553}
[21/300] robustness_score=0.2332 trades=729 params={'entry.or_minutes': 8, 'entry.buffer_points': 3.7120834199049932, 'entry.direction': 'both', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 100, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 1.0265741370173576, 'risk.fixed_stop_points': 20.28640863379776, 'risk.target_mode': 'atr', 'risk.r_multiple': 1.763522645244968, 'risk.atr_mult_target': 1.7533637562096822, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.4107581612552801, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 2.1586961787444388}
[22/300] robustness_score=0.6579 trades=729 params={'entry.or_minutes': 6, 'entry.buffer_points': 0.0177284454389115, 'entry.direction': 'both', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 50, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 1.6045887796521265, 'risk.fixed_stop_points': 31.17002340279972, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 0.7796847014733375, 'risk.atr_mult_target': 3.8351528171399174, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.9547083470466267, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 1.665019132979588}
[23/300] robustness_score=1.7340 trades=729 params={'entry.or_minutes': 9, 'entry.buffer_points': 2.1489335644038587, 'entry.direction': 'both', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 100, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 2.7473115913161865, 'risk.fixed_stop_points': 16.30229615019262, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 2.1673335265888576, 'risk.atr_mult_target': 2.0610359038438553, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 1.4686044271647467, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 2.351527645139113}
[24/300] robustness_score=0.2720 trades=729 params={'entry.or_minutes': 12, 'entry.buffer_points': 4.32302848109982, 'entry.direction': 'both', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 2.3414111793877055, 'risk.fixed_stop_points': 19.96556403839286, 'risk.target_mode': 'atr', 'risk.r_multiple': 2.5055878473428472, 'risk.atr_mult_target': 3.592192085125838, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.6201668515133665, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 1.2650834451938686}
[25/300] robustness_score=8.0784 trades=728 params={'entry.or_minutes': 6, 'entry.buffer_points': 4.292966256688908, 'entry.direction': 'both', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 200, 'risk.stop_mode': 'atr', 'risk.atr_mult_stop': 1.2629771683465014, 'risk.fixed_stop_points': 33.86036497458585, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 1.0573088680145224, 'risk.atr_mult_target': 2.980099548245887, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.6939143414372477, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 2.4337782080967223}
[26/300] robustness_score=0.4826 trades=567 params={'entry.or_minutes': 13, 'entry.buffer_points': 1.7557306454137611, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 100, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 0.788354379628569, 'risk.fixed_stop_points': 39.11201833066684, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 1.9514743343467695, 'risk.atr_mult_target': 3.9506517186492616, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.43008305665765334, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 1.1913742233596005}
[27/300] robustness_score=7.8166 trades=472 params={'entry.or_minutes': 30, 'entry.buffer_points': 1.568386570974956, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 200, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 0.9751969362557401, 'risk.fixed_stop_points': 11.331596011396933, 'risk.target_mode': 'atr', 'risk.r_multiple': 0.5042281955465737, 'risk.atr_mult_target': 3.776725496497248, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.7370657661375171, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 2.3977489719426286}
